species,NC_128,NC_134,NC_136,NC_137,NC_138,NC_139,NC_140,NC_143,NC_144,NC_145,NC_146,NC_147,NC_148,NC_149,NC_150,NC_151,NC_152,NC_153,NC_154,NC_155,NC_156,NC_157,NC_158,NC_159,NC_160,NC_161,NC_162,NC_163,NC_164,NC_165,NC_166,NC_167,NC_168,NC_169,NC_173,NC_174,NC_176,NC_177,NC_180,NC_181,NC_182,NC_183,NC_184,NC_185,NC_186,NC_199,NC_200,NC_201,NC_202,NC_204,NC_205,NC_206,NC_207,NC_209,NC_210,NC_214,NC_218,NC_219,NC_220,NC_224,NC_225,NC_241,SLE_1,SLE_100,SLE_106,SLE_11,SLE_113,SLE_117,SLE_119,SLE_12,SLE_120,SLE_121,SLE_122,SLE_125,SLE_129,SLE_131,SLE_132,SLE_170,SLE_171,SLE_172,SLE_175,SLE_178,SLE_179,SLE_18,SLE_189,SLE_19,SLE_191,SLE_192,SLE_193,SLE_195,SLE_196,SLE_197,SLE_198,SLE_2,SLE_212,SLE_213,SLE_215,SLE_216,SLE_226,SLE_227,SLE_228,SLE_229,SLE_23,SLE_232,SLE_234,SLE_235,SLE_24,SLE_243,SLE_244,SLE_247,SLE_248,SLE_249,SLE_250,SLE_251,SLE_252,SLE_253,SLE_254,SLE_255,SLE_256,SLE_257,SLE_26,SLE_266,SLE_267,SLE_269,SLE_27,SLE_271,SLE_272,SLE_273,SLE_276,SLE_277,SLE_278,SLE_279,SLE_280,SLE_281,SLE_37,SLE_39,SLE_40,SLE_45,SLE_48,SLE_50,SLE_52,SLE_53,SLE_54,SLE_56,SLE_59,SLE_6,SLE_62,SLE_63,SLE_69,SLE_7,SLE_71,SLE_72,SLE_75,SLE_78,SLE_80,SLE_82,SLE_83,SLE_84,SLE_85,SLE_87,SLE_89,SLE_91,SLE_92,SLE_95,SLE_99
Parasutterella excrementihominis,0.001105014,0.000337819,0.000673467,0.000121195,0.000113365,7.75E-05,0.000138181,0.001256118,0.000305788,0.000662403,0,0.000484021,0,0.001853194,0.002182336,0.001535881,0.000300216,0.001922046,0,0,0.000123882,0.000461504,0.001583607,0.000402532,0.000854399,0.002592,0.001990546,0.001631154,0.000359133,0.000107683,8.16E-05,0.000154104,0.000439903,0.00102353,0.000153909,0.000200652,0.001383927,5.75E-05,0.001649184,0,0,0.000330302,0.000777322,0.00018991,0.001704276,0.001178531,0,0,0.000380587,0,8.86E-05,0.000103623,0.000422169,0.000112885,0.000506812,0.000144006,0.000237654,0.000201616,0.001686751,0.001139725,0.001381686,0,0,0.00284062,0,0.000743378,0,0,0.001181198,0.000299521,0.000179247,0.001875297,0.000228081,9.65E-05,0.00188182,9.47E-05,0,0.000127227,0,0.00010819,0.000304648,0,0.00144837,0,0.002164175,0.001031674,0,0,9.34E-05,0.000541617,0.000476927,0.002259827,0.000621528,0,0.000162533,0.003545658,0.00041937,0.000275023,0.00110099,0.000205637,0.002318533,0.000122104,0.000310046,0,0,0.000265338,0.002088632,0.000238739,0,0.000110578,0.002354581,0,0.000106888,0,0.000219222,9.45E-05,0.000104718,0.002848799,0.000124584,9.90E-05,0.000209092,0,0,0.000158808,0.000492512,0.000321776,0.002739852,0.001990606,0,0,0,0.001506042,0.001984566,0.000353883,7.40E-05,8.15E-05,0.000100465,0,0.000127186,0.001484572,0.00212499,0.000293357,0.002104692,0.00012198,8.78E-05,0.001309966,0.00039374,9.37E-05,0,0.000265989,0,0.000138321,0.002010114,0,0,0.000171596,0.000118353,0,9.99E-05,0,0.001930654,0,0.000882495,0.002185016,0
Parasutterella sp. NM82_D38,0.00139744,0.00100542,0.000792593,0.000332268,0.000181105,0.000185385,0.000409785,0.001038155,0.000578843,0.001239892,0.000341562,0.000536679,0.000209509,0.002572776,0.002457601,0.00146812,0.000565258,0.000598066,0.0003337,0.000876453,0.000323124,0,0.002050276,0.000601326,0.000862903,0.003857919,0.002499685,0.001689825,0.000733135,0.000325755,0.000249101,0.000915689,0.00050018,0.0008312,0.000934122,0.000785566,0.001936714,0.000184148,0.001817385,0.001049406,0.000780881,0.000669317,0.00090787,0.000455278,0.001588379,0.000978178,0.000563073,0.000326379,0.000285608,0.000570375,0.000267959,0.000579819,0.000460743,0.000379987,0.000449833,0.00014224,0.000730568,0.0010514,0.001095993,0.001340389,0.001737114,0.000517798,0.000905047,0.002603474,0.001867027,0.000425383,0.000625708,0.000638805,0.000792278,0.000523101,0.000860404,0.002347933,0.000336335,0.000578413,0.002290006,0.000406865,0.000256485,0.00028577,0.000382028,0.000302273,0.000346653,0.000446271,0.001376595,0.000584365,0.002774803,0.001524977,0.000333934,0.000971649,0.000357594,0.000628233,0.000826629,0.003180981,0.000848038,0.000710631,0.000392184,0.005368413,0.001131432,0.000561451,0.002512844,0.00051189,0.003173546,8.65E-05,0.00064759,0.000657075,0.000677233,0.000425247,0.003485373,0.000685548,8.00E-05,0.000287854,0.003395277,0.000255144,0.000314831,0.000449464,0.000189719,0.000307724,6.24E-05,0.002711967,0.000839282,0.000725255,0.001086682,0.000847995,0.002274732,0.000121107,0.000720898,0.000425496,0.004244669,0.002789767,0.000276027,0.002743519,0.000321434,0.001623295,0.003674865,0.000944956,0.000409398,0.000705724,0.000562802,0.000748751,0.000807129,0.002441392,0.0032017,0.000668432,0.003117317,0.000396486,0.000728989,0.001836096,0.000919396,0.000671795,0.000859145,0.000558394,0.004847015,0.000845733,0.002520534,0.000326393,0.002287294,0.000442447,0.000657492,0.000590251,0.000686411,0.000778002,0.001571178,0.000664204,0.000990671,0.003468664,0.002431555
Phascolarctobacterium faecium,0.001333112,0.005422049,0.002471438,0.000205806,0.007991008,0.003614847,0.005523021,0.003381014,0.007487831,0.000716522,0.006043746,0.003342671,0.000535623,0.004971124,0.005395024,0.009965872,0.006420636,0.004542775,0.004668203,0.001929361,0.001319489,0.002192049,0.000266428,0.000440987,0.000256739,0.001914099,0.002185312,0.000146027,0.00014136,0.003765088,0.004103199,0.006164947,0.000825535,0.000463858,0.000514208,0.007569042,0.006229994,0.005170246,0.004766212,0.005332712,0.001667876,0.004005703,0.001292847,0.00429183,0.006080176,0.000668952,0.000569226,0.00484064,0.000319793,0.00723175,0.006663221,0.000340551,0.004925292,0.000710693,0.004058782,0.001629968,0.005074974,0.001472413,0.000219347,0.000831189,0.001551067,0.001222858,0.003272752,0.003855625,0.000380986,0.006129004,0.002462862,0.003284535,0.001970289,0.006180102,0.003417059,0.000667504,0.000368571,0.001462881,0.006591963,0.006621332,0.001030606,0.008439692,0.003720759,0.004772987,0.006190541,0.004932113,0.003185312,0.006016186,0.005732634,0.002318592,0.000197896,0.000640412,0.003261495,0.005003505,0.000790552,0.007424177,0.005864662,0.005676956,0.004840512,0.000246425,0.008881612,0.001046036,0.004000024,0.000200285,0.00827843,0.007913195,0.004986456,0.00460328,0.006166631,0.001635394,0.000959055,0.002654972,0.003824101,0.004289905,0.005967021,0.001570031,0.005415003,0.005517975,0.00859241,0.001959219,0.00020847,0.001099958,0.001712524,0.004590809,0.000444032,0.004624504,0.002764645,0.000964072,0.001742527,0.006971065,0.006663304,0.00212581,0.002069815,0.002699732,0.000516373,0.006005357,0.009968624,0.005183424,0.005613885,0.004687874,0.006044703,0.000738877,0.003863049,0.002177045,0.000262379,0.001550335,0.008741327,0.004854763,0.004116165,0.00329382,0.004444489,0.004331546,0.015688382,0.005770279,0.001989074,0.00019205,0.000446705,0.000374778,0.00396014,0.008289383,0.004290112,0.000317118,0.007637206,0.000434331,0.005173671,0.001684644,0.001185063,0.007117656,0.000764501
Phascolarctobacterium succinatutens,0.000136278,0.000345396,0.007430345,0.000594631,0.000298472,0.000187982,0.000110091,0.000392546,0.000305907,0.00034206,0.000284193,0,0.000147738,0.000243781,0.000296798,0.000360298,0.000176085,0,0,0,0.000131646,0.000180871,0.000108477,0,0,0.005597457,0.000287169,0.000108449,0,0.00041652,0.000345111,0.000362772,8.51E-05,0,0,0.000146878,0.000315055,7.68E-05,0.000545884,0.000195095,0.006555707,0.000177037,0.000149394,0.000369859,0.000249593,0.000253035,0.000297184,0.000355128,0,0.000312,0.000178173,0,0.000503264,0.004034227,0.000228856,0.007509645,0.000185252,0.000617401,0.00012186,0.004436061,0.000141469,0.001614139,0.000316931,0.000152284,0,0.000230576,0,0.000415577,0.00025794,0.000186927,0.000303497,0.000309821,0,0.000175492,8.69E-05,0.000323437,0,0.000135442,0,0.000243288,0.000426735,0,0.00013688,0.000259923,0.000621782,0.000279339,0,0,0.000349522,0,0.000111313,0.000473025,0.000167679,0.000355387,0.000483838,0,0.000384212,0.00418765,0.00013809,0,0.000353241,0.000129171,9.97E-05,0.000556817,0,0.004476809,0.000123484,0,0.000127741,0.000401075,0.000611084,0.00046979,0.000217275,0,0.000338182,0.000542954,0.000176603,0.006098712,0.004416469,0.000344917,0,0.0002738,0.000855671,0.000115908,0.000130391,0.000217102,0.000466108,0.000154823,0.000347117,0.003850631,0,0.000313612,0.00051461,0.000172015,0.000191477,0.000170382,0.000237934,0.000295371,0.000125987,0.000190121,0.000261505,0.000380421,0.000453145,0.000198464,0.000228382,0.000124802,0.000105394,0.00040602,0.000314028,0.00040709,0,0,0.000110074,0.000221318,0,0.000418262,0.000316103,8.72E-05,0.000340037,0,0.000137476,0,0,0.000105145,0.000542742
Phocaeicola coprocola,0.000743773,0.00063911,0.00039967,0.000601195,0.001023324,0.000643438,0.001336775,0.000488208,0.001257615,0.000428641,0.000287143,0.000848729,0.000495292,0.012744188,0.000328786,0.001261922,0.012355541,0.000176167,0.000339192,0.000695005,0.000115018,0.004658628,0.000472032,0.000404363,0.000653687,0.000285574,0.007955434,0.000473763,0,0.00024812,0.000388656,0.000849446,0.000405537,0.000177365,0,0.000548955,0.009215096,0.008390786,0.000262854,0.000385538,0.000247409,0.000687976,0.000122618,0.00027187,0.000687398,0,0.000236365,0.008677203,0.000157307,0.010883123,0.000566985,0.010594654,0.001325228,0.000219222,0.00038373,0.00082656,0.000356474,0.000268229,0.000281719,0.00056651,0.000199386,0.000189042,0.00600074,0.013038553,0.012061854,0.000516109,0.000243266,0.000145683,0.000471459,0.000470298,0.012390109,0.000117984,0.000305823,0.010549426,0.010348641,0.01016249,0.001484929,0.000578795,0.000566885,0.000428127,0.000761369,0.000223605,0.015393878,0.000667018,0.000439127,0.000274454,0.000168486,0.00032577,0.00018064,0.000301622,0.006839833,0.000269168,0.000547186,0.00031734,0.000107741,0.000644031,0.000485612,0.000789639,0.000317109,0.000636374,0.000786775,0.000312634,0.000334895,0.000584572,0.000306212,0.00458048,0.012608976,0.000835746,0.000295446,0.000889123,0.000632496,0.000393934,0.000290259,0.000294926,0.000503834,0.000198457,0.010642869,0.001055019,0.005158739,0.000587397,0.000578121,0.000654661,0.001108411,0,0.002699586,0.000372546,0.00057091,0.000261756,0.006645017,0,0.000255579,0.000621866,0.001003617,0.000328944,0.000369543,0.000351943,0.0003851,0.000428728,0.000408412,0.005211222,0.01175847,0.000478884,0.000581666,0.003313573,0.000251612,0.007961306,0.000420828,0.000365058,0.000637969,0.000832406,0,0.000272808,0.00046472,0.000149098,0,0.000144562,0,0.000916646,0.012837239,0.000214826,0.000335132,0.000186559,0.00016304,0.000382742,0
Phocaeicola coprophilus,0.000524492,0.000278528,0.000104826,0.000213182,0.000479857,0.000185665,8.67E-05,0.000183541,0.00094861,0,0,0.000178059,0.000285786,0.000678626,0,0.000346406,0.000955722,0,0.000279489,0.000214495,0.000505462,0.00030817,0.000239859,0.000171692,0.00036181,0.000134484,0.000898466,7.83E-05,0,6.96E-05,5.49E-05,0.000127337,0.000210748,0,0.000295431,0.000171464,0.000358777,0.000782841,0.000280566,0.000304156,8.83E-05,0.000137052,0.000131712,0.000221372,0.000178285,0.00014759,0.000219521,0.00038409,0.000137487,0.000652072,0.000195798,0.000655945,0.00026913,0.00024016,9.83E-05,0,0.000266703,0.000234034,0.000107416,0.00030402,0.000124985,0,0.000435837,0.0006003,0.00117456,5.76E-05,9.79E-05,0.00015642,0.00023219,0.000213602,0.000807812,0.000272549,0.000294252,0.00064564,0.000865075,0.000485924,0.000288807,0.000371615,0.000214746,0.000103747,0.000877145,0.000449604,0.000787691,0.000344522,0.000104558,5.99E-05,0,0.000358783,0.000416325,0.000298144,0.000283637,6.80E-05,0.000811262,0.000338086,0.000231079,0.000172932,0.000272498,0.000614183,0,0.000135455,0.000369575,0.000118988,8.92E-05,0.000145169,0.000124197,0.000322491,0.000968991,0.000173091,8.04E-05,0.001027874,0.00035797,0.000150891,0,0.000140946,0.000204976,0.000158898,0.00065255,0.000316168,0.000528012,0.000311293,0.000411519,0.0001047,0,0.000125056,0.000300318,0.00019216,0.00033997,0.000240521,0.000561215,0,0.00043103,0.00043557,0.000322496,0.0002595,0.000338395,0.00021279,0.000109183,0.000118716,0.000160722,0.000805603,0.000484813,0.000148604,0.000313755,0.000401166,0.000175291,0.000466869,0.000243412,0.000192714,0.000212365,0.000224624,0,0.000148339,0.000102162,0.000476806,0.000692041,0.000130509,9.57E-05,0.000261204,0.000685096,0.000206404,0.000119448,0.000134228,0.000172398,0.000227206,0
Phocaeicola plebeius,0.008311744,0.000554657,0.000797462,0.00116677,0.001003961,0.000492123,0.000706107,0.007778098,0.013310512,0.000684102,0.000297451,0.000324937,0.000581701,0.001063372,4.66E-05,0.018651713,0.000446591,0.000422892,0.001434226,0.000168838,0.005926889,0.000711551,0.000198185,0.002635926,0.000476739,0.000454292,0.00760694,0.000698547,0.000481393,0.000570046,0.0004165,0.001350833,0.000345827,0.000360532,0.00024052,0.00067216,0.000620254,0.005774925,0.000309531,0.00049312,0.000196217,0.000810754,0.002224369,0.000441526,0.00036447,0.000427714,0.001191513,0.000860911,0.000292361,0.011604544,0.00063856,0.00860759,0.000640373,0.004834608,0.000369329,0.000554082,0.000594295,0.002607777,0.000284875,0.004771338,0.000192239,0.004015666,0.004925968,0.00119808,0.010891316,0.000571017,0.005596328,0.000568031,0.007595199,0.000640326,0.014867475,0.000407999,0.000443778,0.000824817,0.007048435,0.00123918,0.00103778,0.00043301,0.000825171,0.000641674,0.00751661,0.000602528,0.001190959,0.001114441,0.000202667,0.000329688,0.000251149,0.002946833,0.000559966,0.000677991,0.000678666,0.000366693,0.013383842,0.000515477,0.004682632,0.000501234,0.000256103,0.009260523,0.000597042,0.000678203,0.010659977,0.00084607,0.000414545,0.00058954,0.000439646,0.000958464,0.000340441,0,0.000120572,0.00082587,0.000983799,0.000324451,0.000643771,0.000716464,0.000773488,0.001750247,0.000843564,0.003332502,0.008641119,0.000276424,0.000655164,0.000521803,0.000151259,0.000596289,0.000449447,0.004575005,0.000434887,0.000341885,0.007892271,0.000441442,0.004719863,0.008103483,0.000855491,0.000428911,0.003259632,0.000456712,0.000448949,0.000914241,0.001026807,0.00572755,0.001107239,0.00044068,0.000403739,0.000466452,0.003889136,0.000493266,0.000830256,0.000687631,0.009981151,0.000710913,0.002288987,0.000570986,0.000516072,0.000361022,0.00476364,0.000278434,8.12E-05,0.008210599,0.001274278,0.000189201,0.000769485,0.000223041,0.000561189,0.000436187,0.001063698
Phocaeicola vulgatus,0.003797427,0.010183124,0.001392199,0.01027461,0.009054278,0.005340959,0.00163804,0.005628155,0.005953588,0.001553585,0.000316295,0.007840912,0.009587364,0.006551476,0.002671214,0.006053091,0.007279978,0.002521431,0.005695771,0.004004653,0.001481935,0.00265037,0.004420569,0.001380802,0.01133366,0.003380383,0.005746136,0.005981351,0.001721846,0.005327101,0.003590321,0.001605431,0.003327138,0.001935294,0.007347198,0.008502298,0.006370055,0.005467184,0.006401492,0.003068987,0.000953588,0.00151893,0.006694653,0.0049943,0.004675232,0.001558485,0.001271278,0.005035408,0.000462644,0.005637142,0.001492785,0.003162164,0.005416346,0.001861763,0.008707339,0.001186225,0.005639383,0.001515129,0.003759211,0.007506503,0.002934867,0.002391158,0.002677164,0.009120662,0.003571385,0.004447078,0.003108704,0.002887546,0.002070185,0.00503325,0.003219144,0.004545321,0.007454098,0.002703012,0.002807245,0.005177845,0.000215018,0.00805314,0.005813399,0.002788336,0.00427367,0.006592603,0.008034556,0.006687711,0.004057992,0.00408424,0.001122416,0.001976621,0.007204648,0.005289076,0.001894677,0.006279372,0.006935137,0.0037636,0.006207504,0.013946225,0.001029919,0.005672066,0.005575544,0.001951314,0.004460963,0.008269197,0.006743852,0.00965624,0.00434726,0.001710169,0.003608302,0.005114774,0.004619515,0.005875389,0.007713075,0.004168445,0.005591178,0.009326387,0.004851732,0.000787071,0.00719961,0.00298385,0.001197451,0.007973321,0.013485669,0.008108522,0.001327479,0.002325864,0.002327603,0.003044635,0.007539608,0.009791929,0.006342856,0.001353619,0.001340899,0.009143359,0.00891125,0.006706758,0.004080013,0.005084902,0.006703752,0.004712189,0.006653547,0.002832613,0.005371499,0.005929271,0.006880694,0.005285591,0.002229221,0.003934029,0.004494842,0.003770258,0.003553936,0.001359595,0.003081456,0.009499345,0.006664468,0.001078133,0,0.002490522,0.001706284,0.006883708,0.004587601,0.005153465,0.00448794,0.002171407,0.004921595,0.006936101,0.004172964
Prevotella copri,0.001513186,0.003677797,0.092899826,0.008214772,0.003316462,0.002151771,0.068225139,0.002561006,0.002344561,0.006509684,0.002126379,0.002423285,0.002493974,0.003025409,0.001347925,0.001708051,0.002456834,0.002450121,0.020856622,0.001106419,0.051186488,0.042958298,0.003393284,0.007151199,0.002099865,0.05125678,0.00185948,0.00173461,0.001157939,0.00219456,0.002231028,0.002770744,0.001427733,0.00172932,0.001864529,0.002227372,0.001971081,0.001649986,0.001614123,0.045827476,0.076489974,0.002131484,0.054009432,0.001295965,0.003447127,0.002471943,0.096812248,0.002758577,0.002114991,0.042197929,0.002251644,0.001920375,0.002180965,0.046936861,0.001361585,0.083112036,0.002022333,0.060610066,0.001295935,0.001126633,0.043120118,0.057430377,0.00166884,0.002246855,0.003886862,0.029207314,0.001709001,0.003275242,0.002848693,0.001601484,0.003018712,0.037508228,0.002997321,0.001753851,0.001663658,0.002906034,0.002570433,0.001815573,0.050607868,0.001468773,0.002366408,0.003261371,0.003157751,0.002032077,0.004551807,0.001488764,0.002204984,0.038882704,0.001881898,0.001498825,0.021853291,0.00203338,0.001910992,0.001722346,0.002583912,0.003017092,0.003572346,0.002246812,0.001970708,0.002999125,0.001938268,0.002051119,0.001484414,0.002248713,0.002415817,0.052249712,0.001540467,0.001950517,0.001778875,0.001995718,0.001955207,0.001047603,0.001902995,0.00305129,0.002048824,0.043354997,0.001863862,0.045631419,0.054926012,0.001873087,0.002956446,0.001960794,0.005599917,0.000787919,0.03479185,0.002014187,0.001988306,0.002010359,0.002141589,0.023027813,0.001440085,0.001659845,0.002428791,0.001736514,0.001356707,0.001763285,0.001765113,0.003154895,0.002835515,0.038583338,0.002022511,0.002141179,0.001749391,0.001402181,0.033163372,0.036301762,0.042621671,0.002506584,0.029333243,0.007912073,0.003365271,0.002490098,0.001889064,0.001935924,0.004485572,0.034406362,0.044479214,0.002512498,0.002467432,0.001421602,0.001941019,0.001897743,0.002654598,0.050135882,0.006339168
Prevotella pectinovora,0,0.000176486,0.000552168,0.000245058,0,0,0.000360911,9.41E-05,9.37E-05,0,0.000129445,0,0,0,7.16E-05,0,0,0,0,0,0.000293244,0.00024768,0.000220454,0.000470221,0,0.001840355,5.82E-05,0,0,0,0,0.000147802,0.000147023,0,0,0.000113389,7.47E-05,5.47E-05,0,0.000448287,0.000667721,0,0.000420964,0,0.000161609,0.000272566,0.000977823,0,0,0.000337156,7.48E-05,0,0.000133535,0.000586243,8.63E-05,0.000669182,5.68E-05,0.000463306,9.76E-05,7.50E-05,0.000341018,0.000420258,0,0,0,0.000424041,0,0.000320738,0,6.61E-05,0,0.000448581,0,0,0,7.51E-05,0,0,0,8.25E-05,7.30E-05,0.000326516,0,6.87E-05,0.000127281,0.000138946,0,0.00066461,0,0,0,8.40E-05,0,0,0,0.000173601,0.000490635,0,0,0,7.02E-05,0,0,0,0,0.000413768,0,0,0,9.24E-05,0,0,0,0,8.71E-05,0.000227285,0,0.000399314,0.000651133,0.000100325,0.000285194,8.02E-05,0,0,0.00031292,0,0.000126455,0,0.00017494,0,0,8.25E-05,0.000137425,0,0,5.71E-05,7.43E-05,0,0.000117513,0.000380631,0,0.000190974,0,0,0.00031425,0.000359817,0.000367148,0,0,9.54E-05,0.001793733,0.000115117,0,0,0,0.000172708,0.000383679,0.000191022,0,0,0,0,0.000245053,0.000787072,0
Prevotella sp. 885,0.000232935,0.000260495,0.007757075,0.001031434,0.000480629,0.000179949,0.00039263,0.000120127,0.000133424,0.000239373,0.000106057,0.000288026,0.000417243,0.000343162,0.000251872,0.000350731,0.000352191,0.000635649,0.000830807,0.000654769,0.000801901,0.00011911,0.000805862,0.002109608,0.000671572,0.000558934,0.000247516,0.000138451,0.000127709,0.000312779,6.69E-05,0.000211378,0.000185518,0.000394251,0.000162129,0.000315017,9.16E-05,0,0.000157049,0.000455431,0.005194543,0.000374835,0.00037648,0.000190072,0.000734177,0.0001885,0.000873878,0.000553081,0.000145652,0.000365868,0.000189779,0.000324478,0.000458084,0.000377352,0.000322175,0.001132705,0.000175037,0.006616331,0.000208279,0.000117452,0.000250868,0.000137835,0.000169524,0.000139618,0.000605121,0.00048683,0.000102118,0.000321281,0.000116602,9.09E-05,0.00031333,0.000160402,0.000468481,0.000323083,0.000208165,0.000386176,0.000745738,0.000127019,0.000364332,0.000126436,0.000228761,0.000966074,0.000302741,0.000341575,0.001496129,0.000196225,0.000204209,0.000667577,0.000351926,0.000152709,0.000435666,0.000379741,0.000366244,0,0.000268535,0.000654471,0.000979362,0.000760966,0.000154953,0.00040298,0.000305802,0.00036837,0.000194571,0.000655692,0.000176991,0.000469667,0.000247678,0.000533399,0.000263924,0.00015302,0.000481572,0.000444772,0.000436511,0.000578813,0.0001172,0.000322497,0.000135332,0.0003808,0.000443728,0.000401722,0.000495369,0.000402259,0.017022358,0,0.000317909,0.000106285,0.000480897,0.00049923,0.000280262,0.00279885,0.000306858,0.000458631,0.000702314,0.00041809,0.000199951,0.000124927,0.000114083,0.000208978,0.000127958,0.00011367,0.000112696,0.000271003,0,0.000121435,0.000447328,0.000205294,0.000251101,0.000177305,0.000458253,0.000164227,0.001106635,0.000165304,0.000157135,0.000514906,0,0.000151451,0.000822123,0.000201886,0.00014398,0.000425978,0.000128476,0.000208627,0.000156132,0.000402331,0.000513543
Prevotella stercorea,0.000300572,0.000378064,0.003385625,0.000655972,0.000410802,0.000304631,0.000754272,9.74E-05,0.000405927,0.001098857,0.00019093,0.000604912,0.00027585,0.00035913,0.000323482,0.000652678,0.000563286,0.010538196,0.000239402,0.000336486,0.009453204,0.000474619,0.00897387,0.01953572,0.000500384,0.001266915,7.58E-05,0.000246209,0.000423001,0.0003062,0.000357606,0.000416331,0.000180269,0.000436648,0.00020283,0.000335479,0.000238233,0.000239774,0.000381245,0.001048974,0.00180305,0.000195653,0.000219665,0.000155701,0.008258618,0.000280852,0.000324763,0.008346539,0.000253139,0.00047043,0.000120167,0.000236804,0.000411174,0.000468025,7.64E-05,0.009363048,0.000382512,0.00297415,0.000301162,0.000321748,0.000454642,0.000334477,0.00031982,0.000509323,0.000522541,0.000437236,0.000663804,0.000151216,0.000406116,0.000147367,0.000573596,0.000493501,0.00052341,0.000298562,0,0.000368241,0.000586261,0.000420528,0.00126096,0.000408152,0.000384693,0.000353958,0.000421185,0.000352308,0.013394691,0.000262673,0.000324145,0.00025906,0.000299762,0.000171562,0.00055613,0.00016086,0.000366867,0.000480823,0.000325921,0.000459495,0.000579994,0.007330973,0.0001724,0.000648676,0.000301934,0.00045931,0.00039181,0.000747937,0.000301497,0.000493558,0.000363856,0.000785669,0.00035374,0.000199691,0.000415573,0.000361019,0.000487218,0.000542668,0.00039866,0.000492665,0.000137025,0.00055336,0.000581168,0.000211315,0.000475024,0.000141519,0.003106187,0.000197038,0.000943003,0.000278655,0.00057853,0.000414144,0.000370844,0.004168916,0.000731382,0.000318099,0.000821763,0.00072862,0.000574503,0.000160838,0.000204913,0.000269528,0.000528968,0.000620334,0.000171169,0.003172001,0.000134834,0.000278636,0.00543149,0.000341887,0.000466258,0.000291497,0.001597072,0.000446236,0.004855081,0.00032665,0.000257624,0.000525753,0,0.000819336,0.008316176,0.000238316,0.000357449,0.000440442,0.000364336,0.000398747,0.000144571,0.000478338,0.00119265
Prevotellamassilia timonensis,0.000327404,0.000485566,0.005212015,0.000835429,0.000713835,0.000447763,0.000615666,0.000453915,0.000747643,0.00050186,0.000144135,0,0.000467523,0.000495857,0.000260172,0,0.000470439,0.000259909,0.000957836,0,0.000446288,0.000344287,0.000337297,0.000778501,0.00041019,0.000841596,0.000340033,0.000252851,0.000199827,0.000281648,0.00024533,0.000173003,0.000270573,0.000322094,0.000506808,0.000335994,0.000226101,0.000239553,0.00046121,0.000959062,0.00379644,0.000208718,0.000389834,0.000357226,0.000329235,0.000308405,0.005136762,0.00042417,0.000463164,0.000338154,0.000278796,0.000350415,0.000514753,0.000577031,0.000323455,0.003351265,0.000193274,0.002318796,0.000392523,0.000312178,0.000486283,0.000212234,0,0.000291562,0,0.000106659,0.000427718,0.000283531,0.000265145,0.000296456,0.000460893,0.000419626,0.000526947,0.000305036,0.000494647,0.000144757,0.000467203,0.000235408,0,0.000248239,0.000460112,0.000391034,0.000502932,0.000301076,0.000327991,0.000247785,0,0.00037574,0.000340594,0.000216598,0.000642835,0.000231457,0,0.000118196,0.000210845,0.000609802,0,0.000442173,0,0.000243368,0.000389654,0.000361742,0.000477927,0.000511365,0.000383333,0.000592351,0.000309363,0,0.000252161,0.000490715,0.000418727,0.000255635,0.00033803,0.000651397,0.000363164,0.000273737,0.000446696,0.001154589,0.000821244,0.000353396,0.000486964,0.000390004,0.001463589,0.00010902,0.00013124,0.000147423,0.00050657,0.000499725,0.0001564,0,0,0.000361023,0.00084075,0.000607499,0.000304478,0.000393585,0.000269568,0.000386256,0,0.000398548,0.000229252,0.000204943,8.76E-05,0.000207497,0.000484158,0.000281168,0.000285803,0.000211265,0,9.31E-05,0,0.000471509,0.000434491,0.000134042,0,0.00032443,0.000378761,0.000211637,0.0003429,0.000232339,0.000140059,0.000382442,0.000248412,0.000612895,0
